# index 페이지 영문 텍스트 추출
# 총 220개
# 형식: 번호|원문|번역

165|• Website is unreachable or offline|• 웹사이트에 접속할 수 없거나 오프라인
166|• Content is false, exaggerated, or misleading|• 콘텐츠가 거짓, 과장, 또는 오해의 소지가 있음
167|• Any other compliance violations|• 기타 컴플라이언스 위반
168|Do healthcare/finance industries have special requirements?|의료/금융 산업에는 특별한 요구 사항이 있나요?
169|Regulated industries such as healthcare and finance must:|의료 및 금융과 같은 규제 산업은 다음을 해야 합니다:
170|• Provide industry-specific licenses (e.g., medical institution practice license)|• 산업별 라이선스 제공 (예: 의료 기관 실습 라이선스)
171|• Avoid efficacy claims in all ad copy and landing page content|• 모든 광고 문구와 랜딩 페이지 콘텐츠에서 효능 주장 피하기
172|• Ensure all claims are substantiated and compliant with Chinese advertising regulations|• 모든 주장이 입증되고 중국 광고 규정을 준수하도록 보장
173|❓ Still have questions?|❓ 아직 질문이 있으신가요?
174|Explore all 59 questions across account setup, fees, billing, and compliance.|계정 설정, 수수료, 결제, 컴플라이언스에 관한 59개 질문 탐색.
175|View All FAQ →|모든 FAQ 보기 →
176|Get in Touch|연락하기
177|📝 Ready to Start Advertising|📝 광고 시작 준비
178|on Baidu?|바이두에서?
179|Fill in the form and our team will respond within one business day. We'll review your requirements and send a tailored proposal — including a custom strategy for your specific situation.|양식을 작성하시면 팀이 1영업일 이내에 응답합니다. 요구 사항을 검토하고 맞춤형 제안을 보내드립니다 — 상황에 맞는 맞춤 전략 포함.
180|Email Us|이메일 보내기
181|Response Time|응답 시간
182|Within 1 business day|1영업일 이내
183|We Support|지원합니다
184|Companies & agencies worldwide|전 세계 기업 및 에이전시
185|Our Advantage|우리의 장점
186|Direct connection to Baidu official & top agents|바이두 공식 및 최고 에이전시와의 직접 연결
187|First Name *|이름 *
188|Last Name *|성 *
189|Work Email *|업무 이메일 *
190|Company / Agency Name *|회사 / 에이전시명 *
191|Service Interested In *|관심 서비스 *
192|Select a service…|서비스 선택…
193|Account Opening ($100+)|계정 개설 ($100+)
194|Budget Top-Up (2.5%+ fee)|예산 충전 (2.5%+ 수수료)
195|Campaign Management (6%+ of spend)|캠페인 관리 (지출의 6%+)
196|Full Bundle (All Three)|풀 번들 (세 가지 모두)
197|Agency / White-Label Partnership|에이전시 / 화이트라벨 파트너십
198|Other / Not Sure Yet|기타 / 아직 확실하지 않음
199|Estimated Monthly Ad Budget|예상 월간 광고 예산
200|Select a range…|범위 선택…
201|Under $1,000 / month|$1,000 미만 / 월
202|$1,000 – $5,000 / month|$1,000 – $5,000 / 월
203|$5,000 – $20,000 / month|$5,000 – $20,000 / 월
204|$20,000 – $50,000 / month|$20,000 – $50,000 / 월
205|Over $50,000 / month|$50,000 이상 / 월
206|Website|웹사이트
207|Tell Us About Your Project|프로젝트에 대해 알려주세요
208|Send My Request →|요청 보내기 →
209|Your information is kept strictly confidential and never shared.|귀하의 정보는 엄격하게 기밀로 유지되며 공유되지 않습니다.
210|Message Received!|메시지 수신!
211|Thank you for reaching out. Our team will review your request and reply to|연락해 주셔서 감사합니다. 팀이 요청을 검토하고 응답합니다
212|within one business day.|1영업일 이내에.
213|We help international agencies and brands access China's $100B+ digital advertising market with compliance, clarity, and zero guesswork — one platform, end to end.|1000억 달러 규모의 중국 디지털 광고 시장에 해외 기업이 진출할 수 있도록 컴플라이언스, 투명성, 명확한 가이드를 제공합니다. 하나의 플랫폼, 엔드투엔드.
214|Quick Links|바로가기
215|About Us|회사 소개
216|Submit a Request|문의 접수
217|Legal|법적 고지
218|Privacy Policy|개인정보 처리방침
219|Terms of Service|이용약관
220|©  Baidu PPC Pro. All rights reserved.|©  Baidu PPC Pro. 무단전재를 금지합니다.
